Reference,Superstructure type,Intesnity Measure,Number of spans,Joint type,Soil type,Column type,Skewness,Horizontal curve,Abutment stiffness,"Seismic design (SD, NSD)",States,Retrofitted,"Fault (Near Fault, Far Field,Both,reverse,Strike-Slip)",Time Dependent(years),Environmental Condition,Description,Units,Number of Damage States,Slight DS(median),Slight DS(Dispersion),Moderate DS(median),Moderate DS(Dispersion),Extensive DS(median),Extensive DS(dipersion),Complete DS(median),Complete DS(Dispersion)
"Mander (1999),St,4MSC_MC,NSD_Califonia,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Four,Continuous,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.372572162,0.6,0.372572162,0.6,0.372572162,0.6,0.50983559,0.6
"Mander (1999),C,5MSSS_MC,SD,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.225,0.6,0.364513302,0.6,0.503603905,0.6,0.733822832,0.6
"Mander (1999),St,5MSSS_MC,SD,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.225,0.6,0.364513302,0.6,0.503603905,0.6,0.733822832,0.6
"Mander (1999),PC,5MSSS_MC,SD,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.225,0.6,0.364513302,0.6,0.503603905,0.6,0.733822832,0.6
"Mander (1999),C,5MSSS_MC,NSD_nonCalifornia,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.13,0.6,0.167867968,0.6,0.211034017,0.6,0.311754798,0.6
"Mander (1999),St,5MSSS_MC,NSD_nonCalifornia,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.13,0.6,0.164677787,0.6,0.207023504,0.6,0.305830176,0.6
"Mander (1999),PC,5MSSS_MC,NSD_nonCalifornia,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.13,0.6,0.167867968,0.6,0.211034017,0.6,0.311754798,0.6
"Mander (1999),C,5MSSS_MC,NSD_California,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.165,0.6,0.220626472,0.6,0.268588749,0.6,0.398086896,0.6
"Mander (1999),St,5MSSS_MC,NSD_California,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.165,0.6,0.220626472,0.6,0.268588749,0.6,0.398086896,0.6
"Mander (1999),PC,5MSSS_MC,NSD_California,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Simply Supported,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.165,0.6,0.220626472,0.6,0.268588749,0.6,0.398086896,0.6
"Mander (1999),C,5MSSS_SC,SD,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Simply Supported,Type_D,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.27,0.6,0.422068034,0.6,0.585139775,0.6,0.695453011,0.6
"Mander (1999),PC,5MSSS_SC,SD,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Simply Supported,Type_D,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.27,0.6,0.422068034,0.6,0.585139775,0.6,0.695453011,0.6
"Mander (1999),C,5MSC_SC,NSD_Califonia,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.175,0.6,0.203328643,0.6,0.242057909,0.6,0.358245705,0.6
"Mander (1999),PC,5MSC_SC,NSD_Califonia,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.175,0.6,0.203328643,0.6,0.242057909,0.6,0.358245705,0.6
"Mander (1999),C,5MSC_SC,SD,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.440545394,0.6,0.440545394,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),PC,5MSC_SC,SD,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.440545394,0.6,0.440545394,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),C,5MSC_SC,NSD_nonCalifonia,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.382451496,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),PC,5MSC_SC,NSD_nonCalifonia,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.382451496,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),C,5MSC_SC,NSD_Califonia,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.382451496,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),PC,5MSC_SC,NSD_Califonia,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.382451496,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),C,5MSC_MC,SD,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.440545394,0.6,0.440545394,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),PC,5MSC_MC,SD,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.440545394,0.6,0.440545394,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),C,5MSC_MC,NSD_nonCalifonia,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.382451496,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),PC,5MSC_MC,NSD_nonCalifonia,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.382451496,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),C,5MSC_MC,NSD_Califonia,Skewed=30,Soil=Type_D",Concrete,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.382451496,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),PC,5MSC_MC,NSD_Califonia,Skewed=30,Soil=Type_D",Prestressed Concrete,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.3,0.6,0.382451496,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),St,5MSC_SC,SD,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.440545394,0.6,0.440545394,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),St,5MSC_SC,NSD_nonCalifonia,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.355833169,0.6,0.355833169,0.6,0.355833169,0.6,0.4869296,0.6
"Mander (1999),St,5MSC_SC,NSD_Califonia,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Continuous,Type_D,Single column,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.367928021,0.6,0.367928021,0.6,0.367928021,0.6,0.50348045,0.6
"Mander (1999),St,5MSC_MC,SD,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.440545394,0.6,0.440545394,0.6,0.508321609,0.6,0.668079828,0.6
"Mander (1999),St,5MSC_MC,NSD_nonCalifonia,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.355833169,0.6,0.355833169,0.6,0.355833169,0.6,0.4869296,0.6
"Mander (1999),St,5MSC_MC,NSD_Califonia,Skewed=30,Soil=Type_D",Steel,Sa(1.0),Five,Continuous,Type_D,Multiple columns,Yes,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.367928021,0.6,0.367928021,0.6,0.367928021,0.6,0.50348045,0.6
"Mander (1999),C,2MSSS_MC,SD,Soil=Type_E",Concrete,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.1125,0.6,0.212426458,0.6,0.293483922,0.6,0.427648001,0.6
"Mander (1999),St,2MSSS_MC,SD,Soil=Type_E",Steel,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.1125,0.6,0.212426458,0.6,0.293483922,0.6,0.427648001,0.6
"Mander (1999),PC,2MSSS_MC,SD,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.1125,0.6,0.212426458,0.6,0.293483922,0.6,0.427648001,0.6
"Mander (1999),C,2MSSS_MC,NSD_nonCalifornia,Soil=Type_E",Concrete,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.065,0.6,0.097827974,0.6,0.122983739,0.6,0.181680523,0.6
"Mander (1999),St,2MSSS_MC,NSD_nonCalifornia,Soil=Type_E",Steel,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.065,0.6,0.091352682,0.6,0.114843372,0.6,0.169654981,0.6
"Mander (1999),PC,2MSSS_MC,NSD_nonCalifornia,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.065,0.6,0.097827974,0.6,0.122983739,0.6,0.181680523,0.6
"Mander (1999),C,2MSSS_MC,NSD_California,Soil=Type_E",Concrete,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.0825,0.6,0.128573909,0.6,0.156524758,0.6,0.231992053,0.6
"Mander (1999),St,2MSSS_MC,NSD_California,Soil=Type_E",Steel,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.0825,0.6,0.128573909,0.6,0.156524758,0.6,0.231992053,0.6
"Mander (1999),PC,2MSSS_MC,NSD_California,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Simply Supported,Type_E,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.0825,0.6,0.128573909,0.6,0.156524758,0.6,0.231992053,0.6
"Mander (1999),C,2MSSS_SC,SD,Soil=Type_E",Concrete,Sa(1.0),Two,Simply Supported,Type_E,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.135,0.6,0.245967478,0.6,0.341000367,0.6,0.405287321,0.6
"Mander (1999),PC,2MSSS_SC,SD,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Simply Supported,Type_E,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.135,0.6,0.245967478,0.6,0.341000367,0.6,0.405287321,0.6
"Mander (1999),C,2MSC_SC,NSD_Califonia,Soil=Type_E",Concrete,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.0875,0.6,0.121091907,0.6,0.144157032,0.6,0.213352408,0.6
"Mander (1999),PC,2MSC_SC,NSD_Califonia,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.0875,0.6,0.121091907,0.6,0.144157032,0.6,0.213352408,0.6
"Mander (1999),C,2MSC_SC,SD,Soil=Type_E",Concrete,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.2275,0.6,0.262365799,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),PC,2MSC_SC,SD,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.2275,0.6,0.262365799,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),C,2MSC_SC,NSD_nonCalifonia,Soil=Type_E",Concrete,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.15,0.6,0.227768111,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),PC,2MSC_SC,NSD_nonCalifonia,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.15,0.6,0.227768111,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),C,2MSC_SC,NSD_Califonia,Soil=Type_E",Concrete,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.15,0.6,0.227768111,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),PC,2MSC_SC,NSD_Califonia,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.15,0.6,0.227768111,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),C,2MSC_MC,SD,Soil=Type_E",Concrete,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.2275,0.6,0.262365799,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),PC,2MSC_MC,SD,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.2275,0.6,0.262365799,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),C,2MSC_MC,NSD_nonCalifonia,Soil=Type_E",Concrete,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.15,0.6,0.227768111,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),PC,2MSC_MC,NSD_nonCalifonia,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.15,0.6,0.227768111,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),C,2MSC_MC,NSD_Califonia,Soil=Type_E",Concrete,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.15,0.6,0.227768111,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),PC,2MSC_MC,NSD_Califonia,Soil=Type_E",Prestressed Concrete,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.15,0.6,0.227768111,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),St,2MSC_SC,SD,Soil=Type_E",Steel,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.2275,0.6,0.262365799,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),St,2MSC_SC,NSD_nonCalifonia,Soil=Type_E",Steel,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.19,0.6,0.194692065,0.6,0.194692065,0.6,0.26642072,0.6
"Mander (1999),St,2MSC_SC,NSD_Califonia,Soil=Type_E",Steel,Sa(1.0),Two,Continuous,Type_E,Single column,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.19,0.6,0.219118689,0.6,0.219118689,0.6,0.299846627,0.6
"Mander (1999),St,2MSC_MC,SD,Soil=Type_E",Steel,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.2275,0.6,0.262365799,0.6,0.302729768,0.6,0.39787341,0.6
"Mander (1999),St,2MSC_MC,NSD_nonCalifonia,Soil=Type_E",Steel,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.19,0.6,0.194692065,0.6,0.194692065,0.6,0.26642072,0.6
"Mander (1999),St,2MSC_MC,NSD_Califonia,Soil=Type_E",Steel,Sa(1.0),Two,Continuous,Type_E,Multiple columns,No,No,Both,Nonseismically design,California,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.19,0.6,0.219118689,0.6,0.219118689,0.6,0.299846627,0.6
"Mander (1999),C,3MSSS_MC,SD,Soil=Type_E",Concrete,Sa(1.0),Three,Simply Supported,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.1125,0.6,0.201525433,0.6,0.278423295,0.6,0.405702516,0.6
"Mander (1999),St,3MSSS_MC,SD,Soil=Type_E",Steel,Sa(1.0),Three,Simply Supported,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.1125,0.6,0.201525433,0.6,0.278423295,0.6,0.405702516,0.6
"Mander (1999),PC,3MSSS_MC,SD,Soil=Type_E",Prestressed Concrete,Sa(1.0),Three,Simply Supported,Type_E,Multiple columns,No,No,Both,Seismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.1125,0.6,0.201525433,0.6,0.278423295,0.6,0.405702516,0.6
"Mander (1999),C,3MSSS_MC,NSD_nonCalifornia,Soil=Type_E",Concrete,Sa(1.0),Three,Simply Supported,Type_E,Multiple columns,No,No,Both,Nonseismically design,nonCalifornia,No,Both,No,No,"Ref: Mander, J. B. (1999). Fragility curve development for assessing the seismic vulnerability of highway bridges, Technical Report. Buffalo, NY.",g,4,0.065,0.6,0.092807765,0.6,0.116672619,0.6,0.172357278,0.6
